64
#x	y	position for each electrode
0.00	0.00
0.25	0.00
0.50	0.00
0.75	0.00
1.00	0.00
1.25	0.00
1.50	0.00
1.75	0.00
2.00	0.00
2.25	0.00
2.50	0.00
2.75	0.00
3.00	0.00
3.25	0.00
3.50	0.00
3.75	0.00
4.00	0.00
4.25	0.00
4.50	0.00
4.75	0.00
5.00	0.00
5.25	0.00
5.50	0.00
5.75	0.00
6.00	0.00
6.25	0.00
6.50	0.00
6.75	0.00
7.00	0.00
7.25	0.00
7.50	0.00
7.75	0.00
8.00	0.00
8.25	0.00
8.50	0.00
8.75	0.00
9.00	0.00
9.25	0.00
9.50	0.00
9.75	0.00
10.00	0.00
10.25	0.00
10.50	0.00
10.75	0.00
11.00	0.00
11.25	0.00
11.50	0.00
11.75	0.00
12.00	0.00
12.25	0.00
12.50	0.00
12.75	0.00
13.00	0.00
13.25	0.00
13.50	0.00
13.75	0.00
14.00	0.00
14.25	0.00
14.50	0.00
14.75	0.00
15.00	0.00
15.25	0.00
15.50	0.00
15.75	0.00
2693
#a	b	m	n	rho	err/%
33	51	37	39	1.837400	1.279902
28	46	42	44	2.898530	0.873346
8	44	36	40	2.799860	0.898155
8	44	32	36	1.144860	1.951675
2	29	14	17	1.767780	1.323638
29	56	50	53	3.072240	0.833542
8	44	24	28	0.686536	3.141521
29	56	38	41	1.023320	2.163360
8	44	12	16	13.527900	0.320209
8	35	23	26	0.843812	2.587550
8	35	14	17	6.469870	0.484756
3	48	13	18	3.157900	0.815526
9	18	10	11	30.889300	0.235431
4	13	5	6	59.655300	0.203578
8	26	16	18	4.231400	0.651598
9	27	19	21	3.330540	0.782033
23	41	29	31	1.375950	1.652339
7	61	37	43	0.711073	3.038961
7	16	10	11	11.310100	0.349786
31	58	40	43	0.841956	2.592880
8	17	11	12	14.406000	0.311015
33	51	43	45	0.858182	2.547058
28	46	38	40	1.269950	1.776119
8	17	9	10	38.946800	0.221765
42	60	48	50	0.871202	2.511524
7	61	49	55	1.718020	1.357070
45	63	49	51	1.747320	1.337154
1	46	36	41	1.956000	1.212567
10	64	40	46	0.747778	2.898106
10	19	15	16	11.984200	0.339638
7	61	43	49	0.915257	2.398787
4	49	34	39	0.880660	2.486370
35	62	41	44	1.238260	1.817239
30	57	36	39	1.312200	1.724385
10	55	35	40	0.816506	2.668420
14	23	16	17	13.984300	0.315286
14	23	21	22	8.842520	0.400132
7	52	42	47	1.733990	1.346131
7	52	37	42	0.970876	2.271069
9	63	15	21	10.842400	0.357568
10	55	25	30	0.784986	2.768765
36	63	51	54	0.733423	2.951514
7	52	27	32	0.675280	3.191062
30	57	51	54	2.110290	1.136296
10	55	45	50	1.958450	1.211262
4	40	32	36	2.401850	1.018921
2	29	20	23	1.488410	1.540290
7	43	31	35	1.140100	1.959117
1	28	13	16	1.712080	1.361190
32	41	39	40	10.362700	0.366280
24	60	52	56	2.767100	0.906783
10	37	16	19	7.951630	0.425986
36	54	46	48	1.035240	2.140401
7	43	27	31	0.810288	2.687597
7	43	23	27	0.675729	3.189055
32	41	36	37	1.611330	1.435710
24	60	44	48	0.886869	2.470149
7	43	15	19	5.248270	0.558165
6	51	36	41	0.994035	2.222104
24	60	32	36	1.250190	1.801514
9	63	45	51	1.094180	2.034228
6	24	16	18	3.497460	0.752793
7	25	17	19	3.635720	0.730606
4	13	10	11	14.148300	0.313595
